article_id,question,correct_answer,false_answer
61052,Who were the horde members?,Hennessy’s crew and the children of the exploring party,Aliens pretending to be Hennessy’s crew and the children of the exploring party
61228,Why does Macklin have objections to going back?,"He doesn't want to go back. He'd rather be ""stupid"" than having headaches and always worrying. ",It's too risky to try the experiment again. He'd rather take his chances the way he is now. 
22876,Which word does NOT describe Lord Nehmon’s leadership?,Ineffective ,Passive
24977,What is Puerto Pacifico?,The city on a planet used as part of an attack plan by a group of aliens,A coastal American city where aliens work on a plan of attack
51688,Why was the main character daydreaming about being a war-time pilot?,He was actually there and the memories were real,He was obsessed with magazines about the subject
58733,Why is Alice so relaxed when she finds out there is no incubator aboard the space station?,Alice knows any room in the space station can be made into a giant incubator with minor adjustments.,"Alice is feeling delirious due to the pains of natural childbirth and is only concerned with getting the baby out, and getting the pain to stop at the moment."
61097,How does Retief convince the captain to keep him on board?,"The captain’s men as well as himself are too scared to confront him, so he leaves him be.","He doesn’t have time to deal with Retief, so he leaves him be."
51361,Which word least describes the narrator?,jealous,clever
63875,Why did Jaro ask to meet Miss Webb?,He wants to know what's really going on,He found her attractive
51286,Why couldn't most people tell Matilda where Haron lived?,he hadn't been in Cedar Falls for long,he was a very secretive person
52326,"What planet are the mysterious signals coming from? 

",Venus,Mars
63875,How did the Mercurians adjust to the heat?,They mostly lived under the ground.,Their yellow eyes filtered the sun’s rays.
25086,What is the most surprising detail about the Venusian delegate?,It must be assembled according to instructions,It self-destructs after a certain time period has passed
51202,Why did Davies attach himself to Infield outside of Infield & Morgan?,"He was afraid of heights and falling over, so he had affixed himself to Infield in order to calm his fear.","He had been aiming for George Price, whom he was trying to kill as punishment for knocking him to the ground earlier."
23960,How are the Gascons different from the rest of King Richard's cohort?,They are mercenaries,They are better trained
62198,Why did Torp feel it was necessary to test Thig's blood for disease after he returned?,Thig had become sentimental over the people of Earth.,Thig seemed to be sick after he returned.
24958,Why is it significant that the aliens only differ from humans in one physical characteristic?,The aliens happened to look like certain beings from stories of Earth's history.,It proves that the aliens and humans are actually distant relatives.
20046,What would Graves and Montagu agree about?,swearing makes people feel better,swearing is the adult form of whining
63899,At what moment in the story did the characters seem to have the least hope?,When they were mid-communication with the violent ships.,When they were about to crash into a comet.
31599,Why was Joey moving the stars?,To make a portrait of Charlie in his honor,To try and change space-time so that Charlie could be resurrected
24517,Why does Matt feel the need to warn people about the Chingsi?,Matt is convinced the Chingsi are bad luck.,Matt is convinced that Charlie deliberately destroyed the Whale.
51494,What is NOT true of Purnie?,Purnie meets his best friends,Purnie is thoughtful
20073,Why doesn't Falwell believe that the author could be the Antichrist?,The author is not a world leader,The author is not Jewish
51286,How didn't Matilda feel when Haron was talking?,enlightened,frustrated
61052,What is the future of the Pandora?,It will stay on the planet forever.,It will remain in space.
62498,Why was Pop upset about leaving life on Earth?,He felt selfish for making the family join along in his endeavors to a new planet.,The family was forced to leave Earth even though they did not want to leave.
51129,What was the real reason for the Earthmen to come to Zur?,they wanted to take over without war,they wanted to find ways to make more money
51609,"The Movement believes all of the following EXCEPT: Questioning the failings of the old society, failings have put them in the dome; failure of foreign policy (self-containment)","The best way to fight those controlling the Dome is collectively, versus individually",The 'old society's' failings led to the creation of the Dome
60995,Howell offers all of the following reasons why resurrection is problematic EXCEPT:,It is extremely costly,It is illegal
51203,"What is the irony in Ben's contempt for a single action destroying ""a man's life and his dream?""","He'd just done the same to a man by striking him without thought, and is now running from his guilt. ","He'd just deliberately ended a man's life, and his running from what he's done. "
62085,What was the author's purpose in describing the feeling the hypnotizing music evoked in such detail every time that it played?,To convey how powerful the music is.,To convey the dangerous intent of the music.
22876,Why is Ravdin willing to try and make peace with the Hunters?,It has been thousands of years since they have had contact,He believes he can convince their leader
63890,What would have happened had Major Polk never reported Captain Walsh for sleeping on Boiler Watch at the Academy?,Captain Walsh would have never sent Major Polk on the mission.,Major Polk and Captain Walsh would have never worked together like they do now.
63640,What was the stoolie's job?,To convince Casey to change his mind,To become Casey's friend and confidante
47841,Why did Judy start crying in the attic of her grandparents home?,She was lonely with no friends. ,She was sad that her parents wouldn't let her come on their vacation. 
51296,What caused the ship to leave its planet initially?,The reason is never disclosed.,The planet they were from ran out of viable resources.
25627,What likely happens to Val and Ron after the story ends? ,They stay on Mars for their contract and then move on to a different project,They stay on Mars for a few more weeks before heading back to Earth
63527,Why does Starre lay claim to the asteroid?,"She's trying to delay her arranged marriage, by preventing the asteroid from ever being delivered. ",She's trying to get away from her life. She can't stand how stubborn her Grandfather is. 
50969,How does Taphetta's initial response to Halden's evidence represent a greater dynamic between species?,"Like Taphetta, ribboneers are highly aware of their superior intellectual status, and are skeptical when presented with 'lower level' information","Like Taphetta, ribboneers are the quickest species to evolve, and are enthusiastic when presented with information that could further their advancement"
61263,"What is Hank’s relationship to Retief?
","Hank is a farmer from Lovenbroy requesting that Retief’s division, Libraries and Education, help him solve his labor problem. 
","He is a farmer from Lovenbroy requesting that Retief’s division, Commercial Markets, help him solve his labor problem. 
"
60515,What is the overall tone of the article?,Grim,Serious
31357,Which term best describes Tendal 13's perception of  Arvid 6's work ethic?,reckless,audacious
60515,"What happens to Europe after the bombs? 
","It becomes anarchic, with essentially no governments left. 
","It becomes anarchic, with nothing but gangs to officially end what is left of the war. 
"
61481,"To what is the title of the story, “Silence is—Deadly” referring? 
","Androka’s zone of silence is used as a deadly tool against the Comerford’s crew. 
","Androka’s zone of silence is used as a deadly tool, helping the Americans sneak up on a Nazi Islet. 
"
50988,What is the likeliest reason that Helen married Gabe?,he is good-looking and wealthy,he is good-looking and wealthy
63442,How was Antlers Park able to fool Ezra and Billy-boy into believing Grannie Annie was with him?,He was using one of the images from the birds as an impersonator of Grannie Annie ,His vehicle was equipped with technology that could infiltrate the invention by Baker
29196,Why does Lane want to go to Mars?,To have a chance to make his own decisions,"To follow Gerri Kin, for love"
52844,Did the questions Tremaine needed answers to get resolved?,No. He still doesn't know where the transmission is coming from.,"No. He thinks that Miss Carroll is behind this out of spite for Mr. Bram, but he's not quite sure."
24977,What is Puerto Pacifico?,Puerto Pacifico is a training ground for the androids that the aliens are sending to prepare Earth for invasion.,Puerto Pacifico is a training ground for the aliens who will be replacing key humans on Earth in preparation for invasion.
25086,"If the following event had not occurred, the Venusian delegate's identify would likely not have been discovered:",If Jerry had not kept his old notes from college physics,If the UN had not called a plenary session
61139,How does Retief first manage to arrange an interview/interrogation with Groacians officials?,"He gets into a bar fight, prompting an investigation and thus a visit from a Groacian government officials. Retief flips their interrogation when he begins to ask them the questions he needs answered. 

","He steals vital information from the Groacian archives and plans to use it for blackmail. Then he gets into a fight with a police officer, prompting Groacian officials to visit his office. He blackmails them for info when they arrive. "
50826,Which of the following is not a difference between Martians and Earthpeople?,Martians have tribal ceremonies,Martians can't carry a tune
20028,What isn't true of Sam Adams?,it was still considered one of the Bests,people scored it differently on the second test
23942,Why does Simon ultimately deny Mr. Oyster's request to go to Oktoberfest?,He knows he will not be allowed to do something that might impact the past,He thinks that Mr. Oyster is attempting to alter the space-time continuum
31357,Arvid 6 and Tendal 13 can perform all of the following abilities EXCEPT:,mind-reading,dematerialization
99901,Which does Stephen think is a useful impact of AIs in a broad context?,There can be regulation that can help people decide how to shape the future,They will boost the economy all over the world
26066,How does the Cosmic Express Ray work?,Matter is converted into power and sent out as a radiant beam. The beam is then focused to convert it back into atoms at the destination.,A radiant beam converts matter into power in order to be sent and then converted back into atoms at a new destination.
61139,What was Retief's ultimate mistake?,Trusting Miss Meuhl to do what he said,Breaking into the Foreign Ministry
26741,What is Paul doing in Tangier?,He is on a business trip to find a source of protein.,He is on a business trip scouting locations for thrill-seeking tourists.
62085,What would have likely happened with the interaction between Elath Taen and Mr. Ranson at the end of the article if the hypnotizing music had evoked anger instead of sleepiness?,Either Mr. Ranson or Elath Taen would have been harmed or killed.,Elath Taen would have been affected more by the anger-evoking music than Mr. Ranson. 
26741,How does Rupert feel about Paul?,"Paul is easy-going, but Rupert doesn't know him that well.",Rupert is annoyed that Paul sat down at his table.
50766,What is the relationship between Caswell and the protagonist?,One is the other's boss,They're coworkers
61146,Did Retief follow the sealed orders given him by Passwyn?,"From the unexpected way that Retief reached the surface of Adobe and Retief's obvious penchant for impulsive action, we can infer that although the mission goal was met, the meticulous procedures in the orders were not followed.","Since Retief was ordered not to open the sealed packet of orders until he reached Adobe, and he left the ship on a skiff  with only a pistol before he ever got to Adobe. Thus, we can infer that he neither read nor followed the orders."
63919,"If Karen remains in her current state long-term, what would most likely happen?","She probably wouldn't be able to create, transform, or assess compounds very well.",She'd probably end up learning how to do someone else's job instead so she can help the crew out in some way.
51129,What word doesn't describe Broderick?,selfish,patient
61499,What lesson did Brian learn from his experience?,That the Venus Consolidated police weren’t honest.,That the rebels built mines as escape routes from the police.
51202,Why does Price have a Cure for alcoholism?,"Although he is not an alcoholic, he has a trauma-related aversion to drinking. The Cure is self-imposed.","His alcoholism led him to destructive behavior in the past, including the death of his and Mrs. Price's only child."
23960,What is the purpose of the battle scene from the story?,"To associate tobacco products with masculinity, brotherhood, and pride",To illustrate the powerful bonds of allegiance among soldiers on the battlefield
51202,All of the following terms describe how Infield would characterize Price EXCEPT for:,reckless,hazardous
24521,Who are the Karna?,The Karna are the second most powerful race in the galaxy. They are skilled negotiators.,The Karna are a race of warriors bent on destroying the Earth.
52326,"Who does Myles Cabot help upon returning to Poros? What does he do for them?

","Myles helps the Formian race establish a new ant queen as their leader, replacing King Yuri who came to rule them after the war. 

","Myles helps the Cupian race establish a new ant queen as their leader, replacing the Formian King Yuri who came to rule them after the war. 
"
20015,Who had the opinion that Shawn had stopped reading the magazine after Tina Brown became editor?,Mehta,Ross
63631,Why did the beings come to Earth?,it was the next planet for them to destroy,they wanted to take over Earth
51296,The first time Rikud feels pain or discomfort is when,"the light he peered into was too bright, and his eyes hurt as a result.",he hits his head and bleeds for the first time.
26569,How does Bergstrom feel about Zarwell?,Bergstrom admires Zarwell. He wants Zarwell to help him plan a government revolution.,Bergstrom thinks Zarwell is a dangerous man. He is thinking about turning Zarwell over to the authorities.
51688,What conclusion does the protagonist come to after his encounter with the police?,His memories are untrue and cannot be trusted,He needs to avoid carrying around pornography
63890,"What is the significance of the mission Colonel Walsh gives Major Polk? 
","Walsh sends Major Polk on a fools errand so that he can trick Polk into the Venusian jungle and kill him, serving as revenge for the embarrassment Polk caused him years ago. 
","Walsh sends Polk on a fools errands in order to trick him into a full time job on Venus.
"
53269,"Who is Teena and what role does she play in Chapter one and chapter two?
","Teena is Eddie’s friend and neighbor. She accompanies him on a prospecting hike, where they don’t find any trace of radioactivity but still enjoy a lunch together. 
","Teena is Eddie’s friend and neighbor. She accompanies Eddie on a hike through the hills behind the college, where he teaches her all about isotopes. 
"
61481,"Who are the four to blame for the Comerford’s incident? 
","Nelson, Androka, Brandt, Bradford","Bradford, Nelson, Androka, Curtis
"
31357,What was Arvid 6's mistake?,Arvid 6 transferred Kanad back in time 6000 years.,Arvid 6 dropped the baby when the dog started barking at him.
31736,Why did Jarvis Spurling want to kill Gaivir?,Gaivir had imagined Spurling's face on an animal that he had killed in a dreamvision,Spurling found out about Gaivir's revenge plot
62619,Why did Robert choose to not return to Earth after Peter had told him that he was ready?,His logic wouldn't allow him to fulfill the purpose,He couldn't decipher the difference in killing the humans and the Invaders
27110,"Why are the Kar-Rah shouting ""Kaalleee tik tik tik!""? ",They are exuberating in their discovery of a human,They are praising Loy Chuk for his accomplishment
52995,What is the main reason behind the Welfare State operating as it does?,Automation with computers has made the need to work largely obsolete. ,"The current populace is not skilled enough to work, and thus most people are a part of the Welfare State"
61053,Which word doesn't describe Tolliver?,hot-headed,stubborn
20028,Which word best describes the author's feeling about the test?,amusing,formal
99902,To what commonality are Sara and her father oblivious?,"Their realities both stem from limited, biased media spheres.
","The advertisements they watch are driving them apart, versus bringing them together."
30035,What would have happened if Dameri had delivered his speech sooner?,No change in the course of events,Earth could have been part of the Galactic League
61228,Why was the Army doctor concerned about the wellness of Macklin?,He appeared to now be a moron,His blood pressure had dropped dangerously low
51286,What is not a reason for Matilda to tell the librarian what happened?,she wanted to make sure the librarian stayed away from him,she had been asked to relay a message to his wife
63899,What characteristics best describe Captain Llud in the present part of the story?,"Tired, defeated, and confused","Jolly, excited, and tired"
63890,"Given the details in the article, what best describes Captain Walsh and Major Polk's relationship?",They had strong disdain for each other.,They liked to make jokes out of each other.
60507,Why did Kalvin continue researching on his own at home?,He wanted to better understand the technology and create a solution.,He wanted to be sure it was safe.
53269,"What is the Geiger counter and how exactly is it used in the present chapters? 
",A Geiger counter is used to measure radioactivity. Eddie uses it to prospect the hills behind the college.,"A Geiger counter is used to measure radioactivity. Eddie uses it to prospect Cedar Point. 
"
27110,How does Loy Chuk bring the mummy to life?,"While rehydrating the body, Loy Chuk used electrodes to send energy throughout the body.","After rehydrating the body, Loy Chuk used electrodes to send energy throughout the body."
51361,Why did the recruiter offer Lawrence $50 Galactic a week?,"He was able to offer him less, knowing he would still accept and be grateful. ",He would be paid less because he would also be reimbursed for expenses and have free travel. 
99910,Which of these is most true?,Success of these currencies can be loosely predicted based on the relative wealth of an area,Bitcoin is likely going to replace these local currencies as the alternative currency
20026,What doesn't the author believe about Bauer?,he is pro-choice and a moderate conservative,he is an underdog because of his inexperience
61263,Are the two thousand students truly being sent off to college?,"No, because there exists few academic resources for them where they are heading. ","Yes, because there is a small college out where the students are heading."
61380,"What effect does Stage Two have on Herrell? 
","It distresses him to the point of breaking out of the cell. 
","It distresses him to the point of risking what wearing the space suit will do to him. 
"
25086,Why is Conners upset with Bridges?,Conners received a report that Bridges was behaving unprofessionally.,"Conners was chewed out by a Senator because Bridges was trying to get information,"
53016,"Given the way that the marocca grow, will the narrator and Captain Hannah likely have to make trips back to Mypore II in the future to transport more marocca?","No, because the plants grow extraordinarily fast and they reproduce on a large-scale.","No, because the marocca will be so difficult to maintain on Gloryanna III that any hopes of restarting a marocca industry on the planet will be abandoned."
49165,What wasn't an issue their bodies were going through?,malnutrition,irritation
20068,Why does the author think people's satisfaction with their own teeth has gone down over time?,Younger generations have much higher expectations for dental health ,The average diet today is higher in sugar and causes more dental decay
63041,Which of the following is a false statement about the 98th corpse to be acquired by the ship?,He turned on his superior,He travelled to Earth
50988,"Why did Gabe tell the girl that he was with that he had never before seen the nondescript man, though the two clearly knew each other?",He had not actually seen that man with the new face,He had not wanted her to know the truth. 
24977,Why do the cops shoot Spencer?,Spencer is not cooperating.,Spencer was speaking too brusquely to the three women in the bar.
61119,Why does the population of Granite City want to keep their deficiency a secret?,They are scared of losing their livelihood.,They are not aware of their own psionic sterility.
60897,Who ends up being the narrator's worst enemy and why?,He is his own worst enemy because he talks too much.,Henry is his worst enemy because he lies to the narrator.
60507,How did the majority of Piltdon workers feel about Feetch?,They respected him,They felt indifferent towards him
63477,"Had Trillium known the outcome of her stowing away, would she have likely still stowed away?","Yes, because she was able to accomplish her mission. ","Yes, because she had already shown that she was selfish and lonely. "
63890,What was Captain Walsh's main motive behind putting the narrator on the mission?,Walsh sought revenge against the narrator.,Walsh wanted to test the narrator's competency.
24161,What is Evans' primary dilemma?,"If he is to discover a new water source, he must utilize his low, existing source to find it",He has a limited amount of time until the next meteor shower hits and permanently destroys his equipment
61405,What is Mia’s relationship to Jimmy D. and how does it develop throughout the story? ,"Jimmy D. is Mia’s fellow scout. At first, Mia describes how they butt heads a lot due to differences in their personalities. But as Mia begins to face the trials of her mission, she comes to miss Jimmy, wishing that Jimmy could be there with her and provide a little help. 

","Jimmy D. is Mia’s fellow scout. At first, Mia describes their relationship as turbulent, complaining that Jimmy always asks her to be his partner even though she’s already partners with Venie Morlock. However, when Jimmy is arrested during their mission on Tintera, Mia agrees to be his partner out of pity. 

"
24150,Which of these does Dr. Niemand believe to be true about the timing of the attacks?,They are related to the sun's cycle and the speed at which S-Regions travel,Overcast weather throws off the timing of paired attacks in different areas
63304,Which of the following isn't a reason that Svan's plan failed?,A guard knocked him unconscious and brought him to the Earth ship,There were more people guarding the ship because of the spy-ray
63640,Who is Pard Hoskins and what is his relationship to Casey Ritter?,"Pard Hoskins is a smuggler/grifter like Casey Ritter. Casey met Pard during a real estate related operation, and now the two have met again in jail. Pard has been to Jupiter’s Great Red Spot before, and so he teaches Casey how to deal with its inhabitants and navigate safely. 

","Pard Hoskins is a smuggler/grifter like Casey Ritter. Casey met Pard during the Kooleen crystal operation, and now the two have met again in jail. Pard has been to Jupiter’s Great Red Spot before, and so he teaches Casey how to make sure it’s strange inhabitants don’t fall in love with him, as this could ruin the mission. 

"
30029,What is the most likely reason for Korvin's solitude in jail?,There weren't any other prisoners in the jail because virtually all of the Tr'en obey the Ruler. Those who don't obey are executed.,The Tr'en are so logical and mathematic that they don't see the need for social interaction. 
63304,What didn't Svan do to try to save his planet?,Plant a bomb on the ship from Earth,Blow up his own vehicle and friends
63304,"How does Ingra’s kiss affect Svan?

","Ingra’s kiss makes Svan think twice about his decision to sacrifice Ingra in the name of his rebel cause. It makes him feel something toward her, momentarily breaking his steadfast desire to go through with his plan. 

","Ingra’s kiss does nothing to Svan. He continues with his plan, annoyed. 

"
31282,How did the Mafia come to be in business on Mars?,By accidentally finding a spaceship,By bribing a spaceship company
23942,Why does Simon not bring back a time traveler?,The authorities would not allow him to do anything that might significantly change the space-time continuum,He became too intoxicated with Arth and sabotaged his own investigation
62349,What was special or impressive about Gertrude?,She was an extreme rarity.,Her outrageous temperment
63477,Why is it in the best interest for an Earthman to never lay eyes on a Venus dame?,Because they would be so infatuated by the dame even knowing she would be their damnation. ,Because of their dangerous nature.
51687,How did living under a state of siege affect the project inhabitants?,They rarely thought about it,They never thought about it
31355,Which best describes the relationship between Russell and Dunbar?,They have similar goals but do not necessarily work well together,"Neither of them likes the other, in a way that hinders group dynamics"
62324,Why did Harvey and Joe have such a large tab and the bar that was ran by Johnson?,They were unaware of the cost of the water served by the bartender. ,They had consumed multiple alcoholic beverages and lost track of how much they had ordered. 
20064,How does the author feel about the Phantom Menace's implications on the timeline of Star Wars as a whole?,He feels that it lacks effort for under explaining certain aspects,He is upset by the time wasted divulging useless backstory and information
31357,Where will Arvid 6 and Tendal 13 go after the end of the text?,To steal Phullam from his parents and get closer to recovering Kanad.,To travel to the Ultroom for Arvid 6 to face his consequences
51296,What is not a theme explored in this story?,Equality must be realized.,Fear is a powerful motivator.
50103,Why did Amanda know Giles so well?,she had worked with him for over 100 years,it was her job to do so
63304,"What is Svan’s revenge plan? 
","Svan wants to blow up the Earth ship when it takes off next. He plans to do this by having his five insurgent friends distract the Earth ship guards by crashing their ground car into a swamp, while he sneaks around the back and plants a magnetic Atomite bomb on the ship, causing it to explode when it breaks out of Venus’s atmosphere. 

","Svan wants to blow up the Earth ship when it takes off for Venus. He plans to do this by having his insurgent friends distract the Earth ship guards with bird calls, while he sneaks around the back and plants a grenade on the ship, causing it to explode when it breaks out of Earth’s atmosphere. 
"
63304,How did Ingra feel at the end?,Worried for Svan and all of them,Mad at Svan for his dangerous plan
61467,What happens to a changeling after their sentence is served?,They are converted back to their normal body and returned to Earth.,They can choose to stay on their new planet or return to Earth.
51286,What didn't surprise Matilda about Haron's house?,it had space for six women to stay,she was fed exactly what she wanted
50826,How is the relationship between the Martians and the humans?,The Martians are distrustful of the humans. ,They have a business relationship. 
50988,Why does Gabe travel to seedy places?,"he thinks he can escape from his ""bodyguard""",so he can play more zarquil
52326,What shocked Myles the most when he woke up on the beach?,Enemies arrived that he believed to be dead.,He was on Venus instead of Mars.
63304,"What is the irony of Svan’s suspicion that his five fellow conspirators are cowards for not admitting who drew the double cross? 
","It turns out that Svan was the one who drew the double cross slip, suggesting that all of his virulent suspicions were entirely his fault. 
","It turns out that Svan planned to pull the double cross slip himself, so that he could blame his fellow conspirators and finally be rid of them. 

"
20028,What was the difference between the first and second test?,Beer type and expense,Expense only
60713,How long will it take the Weblor II to make the round trip to the new colony and back?,24 months,42 months
51295,What would have happened if Dan had stayed in the hospital until he was discharged?,The would have helped both Dan and Erica understand the situation,They would have replaced the mismatched limbs
20014,"What is the best description of what the article is doing with Fiss’s book? 
","Challenging Fiss’s points while unpacking what the book has to say on the whole. 
","Challenging Fiss’s points while offering better stats and better solutions. 
"
26569,How does the comanalysis process work?,The patient is drugged to put them in a relaxed state so that they can recover lost memories.,The patient is drugged and put in a sponge-like material. This makes the patient relaxed enough to sleep and dream.
61467,What would best describe Asa's motive for working as a muck man?,He is seeking revenge. ,He wants to prove he was framed by Dorr.
27665,"What is the most likely reason why Peter, Doris, and Hilary were interested in joining the junior achievement group?",Desire to test their creative ideas in a less restricted environment,Desire to acquire a large amount of funds in order to eliminate the need to go to college
51170,"From the text, what can be inferred about the thoughts in Pendleton's demise?",The information did not match up with his cause of death being suicide. ,The information matched up with his cause of death being suicide.
25627,How did Ledman get to Mars?,He saved his money to send himself,He was part of a uranium company who funded his trip
63616,"By the end of the article, would Harper's opinion of Mrs. Jacobsen at the front desk be different?","Yes, because Harper also had a frustrating experience with the robots.","No, because he would still believe that her complaints were unreasonable."
51053,What can the captives do?,create things they think about,control their ability to have children
51657,Who is getting William in trouble with his parents?,William,William's twin
50893,How is this article written?,Like a factual retelling of events that have happened in America's history.,As an obviously fictional scenario. 
63616,"Though the robots were the main issue at the hotel, was human error still an issue in Harper's overall stay?","Yes, because the human desk clerk had given him the wrong room.","No, because humans were not involved in the hotel's main matters."
20028,What isn't a generalization that can be made from the data?,"if all people dislike the same beer, they're likely to all like the same beer",people can rank the same item differently on two separate days
52326,What did Myles Cabot do to establish his relationship with the peoples of Venus? ,"Myles helped resolve a violent dispute between the Cupians and the Formians, helping the Cupians to victory over the Formians. 

","Myles usurped the Formian throne and took a Cupian for his wife in order to solidify his power over both peoples. 

"
26569,How does Zarwell feel about Bergstrom?,"Zarwell thinks Bergstrom is an alright guy. However, Zarwell isn't interested in making friends. He just wants to retire in anonymity.",Zarwell is suspicious of Bergstrom. He's sure Bergstrom has been tampering with his memories.
62498,Who is The Pooch?,Dick and Eleanor's child.,The family dog.
63150,What was the most noteworthy feature of the spaceship provided for Dennis and his crew to chase down Koerber?,"It's just about the fastest ship out in space, a huge advantage.",The beryloid double-hull design.
51249,What finally helped Ben make his final decision?,looking at the box Charlie left him,finding out Charlie was dead
63631,Why did Charles think he was the last person alive?,He had some sort of immunity,His sickness was taking longer
24958,How do Bal and Ethaniel feel about the humans?,Bal and Ethaniel think humans are very similar beings to themselves. ,"Bal and Ethaniel think humans are crude, rough, and desperate. "
51361,What was shocking about the Stortulian's return to the interview office later in the day?,He was motivated to commit murder. ,His depression was building to a suicide attempt. 
20043,Who felt the most sympathetic towards Dole?,John Buckley,Andrew Rosenthal
20019,What isn't the gambling industry willing to do?,donate money to improve other areas of Las Vegas,regulate online gambling
51494,What were Purnie's friends like in this story?,Self-interested and ignorant,Malicious and blunt
61380,"Is Herrell as intelligent as Hatcher? Why or why not?
","Yes, but their intelligences operate differently. 
","Yes, but humans absorb intelligence through concepts while Hatcher’s race absorbs intelligence through light. 
"
24278,Why is Umluana speaking Dutch to Read and Rashid in the beginning?,It is the colonizer language of his own country.,It's the language that the warrant is written in.
60515,What is a theme of the article?,Material objects cannot replace emotional connection.,With loss comes great strength.
42111,What impression can be made about Don’s feelings towards Alis?,He was quickly becoming fond of her. ,He was afraid of her because of her boldness. 
60995,Which of the following risks are explicitly associated with bringing someone back to life?,They may desire to seek revenge on the person who killed them,They may suffer from cell deterioration
51203,"What does Ben seem to fear, more than anything else?",Losing his position and the chance to fly spaceships. ,"The dead man, and the way he persists in his mind. "
62619,Why was Robert the only choice for returning to Earh?,He was the only changeling-child who had not been destroyed,He was the strongest of the group
61467,What were the consequences of Asa meeting Kershaw and Furston?,Kershaw and Furston were essential in helping Asa assimilate to his job as a muck man.,Kershaw and Furston discouraged Asa's hopes of being a successful muck man.
51295,How many wives did Dan Merrol have?,One,Six
50988,What was the purpose of the ugly man seeming to guard Gabe?,He didn't want his body damaged.,He was actually guarding Gabe's wife.
20010,Which is the least likely reason for not circulating The Bell Curve in galleys?,there wasn't enough time between the galley publication and the official publication,it gave little time for people to check the facts
24161,How is time experienced by the people on the moon?,They track time based on both Earth and the moon,"They work in two-week shifts, built around supply runs"
63875,Why did Jaro sneak out of his hostelry?,he wanted to figure out the mystery,he wanted his money from Mr. Peet
49165,What doesn't Baron think was a reason for their failure?,the Major's experience,poor mapping
47841,Who is Honey?,Judy's sister-in-law,Judy's younger sister
63527,Why do Bob and Quezy haul asteroids in the first place?,"It's a new fad that Bob hard started, where rich people enjoy having them on display. ","The asteroids of deposits of rich minerals, making them valuable. Hence why they check the composition of each one. "
20077,Which of the following is shared between Topsy-Turvy and Mr. Death?,Cultural insensitivity,Plot structure
51609,Why was Humphrey being pick-pocketed so much?,for Lanfierre to get to know Humphrey's personality better,people typically pick-pocket him because he's distracted
60507,What was the “Piltdon Effect”?,The can-opener causing the cans to disappear.,The deluge of cans falling from the sky.
99930,What does the author argue the relationship between downloads and subscriptions are?,There is no correlation between downloads and subscriptions,"As downloads increase, subscriptions increase"
20014,"According to Fiss, free speech issues should be thought of as a conflict between...? 
","Two kinds of liberty: individual and social
","Liberty and equality
"
62349,Why was the Circus is danger of closing?,They were out of money and out of options. ,They were no longer able to manage the lot of animals they had acquired. 
29196,Which is the most accurate description of the relationship between Gerri and Lane?,Gerri feels some kind of pity for Lane and tries to make him feel better,They connect instantly and eventually become lovers
26741,What do Paul and Rupert share in common?,They are both aliens,They are both espionage agents
50893,What happens that completely confirms Schwartzberg's theory?,"An earthquake begins, and the fault starts to settle on either side, putting everything into motion. ","A landslip began to form along the fault, and the land continued to sink. "
25086,Why didn't the Delegate have a robotic voice?,The robot was voiced by Professor Coltz remotely.,The robot was programmed by Professor Coltz and the group that helped him to speak eight languages.
24977,Why did Frank shoot his new client at the beginning of the story?,He wanted to collect the body as evidence of an impending attack.,He had put out an ad for people who wanted to get shot to escape life as it is.
50766,How does the Dean feel about Caswell?,The Dean views Caswell as a friend and co-conspirator.,The Dean thinks Caswell is a stuck-up intellectual.
20064,What problem does The Phantom Menace create for Darth Vader's character?,Young Anakin building C-3PO,Young Anakin has fear
50869,How was Glmpauszn communicating with Joe?,through other people,through vibrations
51256,What was Colonel James' mission?,Get Boris Knackenpast to Sweden,Impersonate Pashkov to gain information
61139,Who betrays Retief? How and why?,"Miss Meuhl. She reports Retief’s espionage to Groacian officials. She does this because she believes Retief isn’t acting the way he should as consul. 
",The Groacian bar tender. He believed Retief needed to be beat up by the drunken Groacian. 
20073,"According to Falwell, why isn’t the narrator the antichrist?",He is not a powerful person. ,He is too young. 
61242,What happened to cause panic during the communicaton between Freedom 19 and the Cape?,The speaker became unplugged.,They lost connection due to the leak.
51170,What didn't Pendleton and Templin have in common?,Tunpesh was both of their first attache assignments,they went to school together
24958,What is the connection between the aliens in the present holiday?,The aliens happen to fit the image many humans have of this holiday.,The timing of this trip allows the aliens to see an important holiday first hand.
62619,"Based on the remainder of the passage, from whose perspective is the introduction?",Robert,An Invader
23791,What effect does Sattell's proximity have on Pop?,It restores Pop's memories of his wife and children,It brings Pop's memory of the murder of his family into clarity
27665,Why does Mr. Henderson want to work for the children?,The children are incredibly successful.,He needs the money to pay for his mortgage.
50103,Why is Earth so stunted in comparison to other colonies? ,"No one is dying, so their priorities don’t lend themselves to progress. ",They’re overpopulated and sending off their youngest people. 
63919,What is one potential moral of this story?,Working together as a team and having hope can lead to more effective results.,Taking drastic actions without thinking them through is very risky.
51053,Which term best describes how the author characterizes the home in the beginning of the story? ,eclectic,neoclassical
24966,What would have happened if Allen's blaster had not run out of charge?,"He would still have hit the switch, ending the story the same way.",He would have been able to shoot the switch from where he stood instead of having to make a run for it.
